speaker_id,audio_file,emotion_id,language,emotion,text
1,neutral_hi_1.wav,0,hi,neutral,"यह प्रक्रिया स्वचालित रूप से पूरी होती है।"
1,neutral_en_1.wav,0,en,neutral,"This process completes automatically."
1,neutral_hi_2.wav,0,hi,neutral,"सिस्टम सुचारू रूप से कार्य कर रहा है।"
1,neutral_en_2.wav,0,en,neutral,"The system is running smoothly."
1,neutral_hi_3.wav,0,hi,neutral,"डेटा को सफलतापूर्वक सहेजा गया है।"
1,neutral_en_3.wav,0,en,neutral,"The data has been saved successfully."
1,neutral_hi_4.wav,0,hi,neutral,"आवश्यक अपडेट लागू कर दिए गए हैं।"
1,neutral_en_4.wav,0,en,neutral,"Required updates have been applied."
1,neutral_hi_5.wav,0,hi,neutral,"कृपया निर्देशों का पालन करें।"
1,neutral_en_5.wav,0,en,neutral,"Please follow the given instructions."
1,neutral_hi_6.wav,0,hi,neutral,"यह प्रणाली सामान्य रूप से चल रही है।"
1,neutral_en_6.wav,0,en,neutral,"The system is operating under normal conditions."
1,neutral_hi_7.wav,0,hi,neutral,"सभी संचालन नियमित हैं।"
1,neutral_en_7.wav,0,en,neutral,"All operations are standard."
1,neutral_hi_8.wav,0,hi,neutral,"सब कुछ सामान्य है।"
1,neutral_en_8.wav,0,en,neutral,"Everything is functioning normally."
1,happy_hi_1.wav,1,hi,happy,"यह शानदार प्रदर्शन है!"
1,happy_en_1.wav,1,en,happy,"This is an outstanding performance!"
1,happy_hi_2.wav,1,hi,happy,"हमें गर्व है कि हमने इसे पूरा किया!"
1,happy_en_2.wav,1,en,happy,"We are proud that we completed it!"
1,happy_hi_3.wav,1,hi,happy,"यह मेरी उम्मीदों से भी बेहतर है!"
1,happy_en_3.wav,1,en,happy,"This is even better than I expected!"
1,happy_hi_4.wav,1,hi,happy,"बहुत बढ़िया! हमें सफलता मिली!"
1,happy_en_4.wav,1,en,happy,"Fantastic! We have achieved success!"
1,happy_hi_5.wav,1,hi,happy,"यह तो कमाल की खबर है!"
